Y	X	Z
10344.46	4100.26	180.4
10343.48	4194.25	180.23
10341.9	4289.23	178.91
10340.16	4384.2	176.92
10339.91	4479.16	174.43
10342.15	4574.08	171.12
10345.22	4668.99	168.71
10345.8	4763.98	168.72
10344.06	4858.96	169.54
10343.73	4952.96	169.46
10345.39	5047.93	168.05
10348.12	5142.88	166.23
10350.69	5237.84	165.32
10352.02	5332.83	165.65
10352.35	5427.83	166.15
10352.77	5522.82	165.48
10353.35	5617.81	164.07
10353.1	5712.8	162.42
10351.85	5807.77	160.26
10350.2	5902.71	157.44
10349.69	5927.69	156.55

Y	X	Z
141	-0.23	-0.31
236	-0.54	-0.7
332	-0.87	-1.1
428	-1.1	-1.33
521	-1.43	-1.86
609.99	-1.98	-2.88
705.98	-2.51	-3.8
797.98	-2.88	-4.4
890.98	-3.28	-4.79
982.98	-3.81	-4.83
1075.98	-4.43	-4.63
1168.98	-4.89	-4.43
1260.98	-4.81	-4.58
1352.98	-4.45	-5.09
1447.98	-4.2	-5.77
1541.98	-4.13	-6.47
1635.98	-4.51	-7.02
1729.97	-5.34	-7.52
1823.97	-5.77	-8.03
1917.97	-5.48	-8.13
2011.97	-5.18	-7.42
2105.96	-5.09	-6.02
2199.95	-5	-4.63
2294.92	-5.89	-2.64
2388.88	-7.54	-0.39
2482.88	-7.75	0.24
2576.87	-6.84	-0.31
2670.86	-5.92	-1.12
2764.86	-4.95	-2
2858.84	-3.78	-3.04
2952.83	-2.53	-4.33
3046.81	-1.3	-5.76
3140.79	0	-7.35
3234.77	1.33	-9.01
3328.74	2.75	-10.6
3422.72	4.17	-11.96
3516.71	5.57	-13.1
3610.69	6.36	-14.55
3705.68	6.49	-16.37
3798.66	6.73	-18.13
3892.65	7.1	-19.73
3987.64	7.47	-21.17
4081.63	7.81	-22.61
4175.62	8.04	-24.07
4269.61	8.06	-25.54
4363.59	7.98	-27.1
4456.58	7.91	-28.72
4550.57	7.83	-30.27
4644.56	7.93	-31.66
